timestamp chenglingji_outflow chenglingji_inflow chenglingji_risedrop chenglingji_level
1597777200 0 14400 4 32.57
1597780800 0 14400 4 32.56
1597784400 0 14400 5 32.57
1597788000 0 14400 6 32.62
1597791600 0 14400 4 32.59
1597795200 0 14400 5 32.61
1597798800 0 14300 5 32.63
1597802400 0 14400 4 32.59
1597806000 0 14300 5 32.65
1597809600 0 14300 4 32.63
1597813200 0 14300 5 32.66
1597816800 0 14400 4 32.59
1597820400 0 11100 5 32.66
1597820400 0 14300 5 32.66
1597824000 0 11200 4 32.64
1597827600 0 11000 5 32.68
1597831200 0 11800 4 32.5
1597834800 0 11300 5 32.62
1597838400 0 11200 5 32.64
1597842000 0 11200 5 32.65
1597845600 0 11300 4 32.61
1597849200 0 11100 5 32.66
1597852800 0 11200 4 32.63
1597856400 0 11300 4 32.62
1597860000 0 11000 5 32.68
1597863600 0 11300 4 32.61
1597867200 0 11300 6 32.61
1597870800 0 11100 5 32.66
1597874400 0 11200 4 32.65
1597878000 0 10700 5 32.75
1597881600 0 11200 4 32.64
1597885200 0 10700 5 32.75
1597888800 0 10900 4 32.71
1597892400 0 11100 4 32.66
1597896000 0 10600 5 32.79
1597899600 0 10600 4 32.78
1597903200 0 11000 4 32.7
1597906800 0 10900 5 32.72
1597910400 0 11200 4 32.64
1597914000 0 11000 5 32.68
1597917600 0 10600 5 32.78
1597921200 0 10900 4 32.72
1597924800 0 11200 4 32.63
1597928400 0 11000 5 32.68
1597932000 0 11000 6 32.68
1597935600 0 10600 5 32.79
1597939200 0 10900 4 32.72
1597942800 0 10600 5 32.79
1597946400 0 10500 5 32.82
1597950000 0 10400 5 32.83
1597953600 0 10400 5 32.84
1597957200 0 10600 4 32.79
1597960800 0 10700 4 32.75
1597964400 0 10400 5 32.84
1597968000 0 10500 4 32.81
1597971600 0 10400 5 32.83
1597975200 0 10500 4 32.81
1597978800 0 10700 4 32.77
1597979880 0 11700 5 32.87
1597982400 0 10200 5 32.88
1597982400 0 11700 5 32.88
1597986000 0 10600 4 32.75
1597989600 0 11300 5 32.91
1597993200 0 11200 4 32.87
1597996800 0 11300 4 32.78
1598000400 0 11400 5 32.79
1598004000 0 11600 5 32.84
1598007600 0 11700 5 32.87
1598011200 0 11700 6 32.87
1598014800 0 11600 4 32.84
1598018400 0 11700 5 32.87
1598022000 0 12000 5 32.96
1598025600 0 11800 4 32.91
1598029200 0 11700 4 32.89
1598032800 0 12100 5 32.99
1598036400 0 11700 4 32.87
1598040000 0 12100 5 32.97
1598043600 0 11700 4 32.89
1598047200 0 12000 5 32.95
1598050800 0 12100 5 32.97
1598054400 0 11900 4 32.93
1598058000 0 12100 5 32.98
1598061600 0 12300 5 33.03
1598065200 0 11600 4 32.86
1598068800 0 12300 5 33.02
1598072400 0 12400 5 33.05
1598076000 0 12400 6 33.05
1598079600 0 12100 4 32.99
1598083200 0 12500 5 33.07
1598090400 0 12300 4 33.03
