timestamp outflow inflow risedrop level wulong_outflow wulong_inflow wulong_risedrop wulong_level
1597777200 0 68300 5 188.21 0 1280 6 173.04
1597784400 0 69200 5 188.58 0 1600 5 173.96
1597788000 0 69300 5 188.65 0 1760 5 174.4
1597788000 0 69500 5 188.71 0 1760 5 174.4
1597791600 0 69700 5 188.8 0 1690 4 174.2
1597791600 0 70900 5 188.8 0 1690 4 174.2
1597795200 0 71100 5 188.94 0 1340 4 173.55
1597798800 0 71500 5 189.1 0 1180 4 173.05
1597802400 0 71900 5 189.27 0 1080 4 172.72
1597806000 0 72400 5 189.44 0 1020 4 172.52
1597806000 0 72400 5 189.44 0 557 4 172.52
1597809600 0 72700 5 189.54 0 559 5 172.53
1597809600 0 73000 5 189.65 0 559 5 172.53
1597813200 0 72700 5 189.73 0 576 5 172.59
1597813200 0 73200 5 189.73 0 576 5 172.59
1597816800 0 73100 5 189.91 0 632 5 172.79
1597820400 0 73400 5 190.07 0 663 5 172.9
1597824000 0 73600 5 190.24 0 694 5 173.01
1597827600 0 73900 5 190.44 0 717 5 173.08
1597831200 0 74000 5 190.54 0 633 5 173.24
1597834800 0 74200 5 190.65 0 669 5 173.35
1597838400 0 74200 5 190.75 0 705 5 173.46
1597842000 0 74300 5 190.85 0 761 5 173.63
1597845600 0 74300 5 190.95 0 407 5 173.74
1597845600 0 74300 5 190.95 0 797 5 173.74
1597849200 0 74400 5 191.1 0 398 5 173.84
1597849200 0 74400 5 191.1 0 830 5 173.84
1597852800 0 74400 5 191.2 0 380 5 173.98
1597856400 0 74500 5 191.27 0 383 5 174.12
1597860000 0 74500 5 191.32 0 398 5 174.3
1597863600 0 74500 4 191.3 0 390 5 174.39
1597867200 0 74600 5 191.47 0 395 5 174.51
1597870800 0 74600 6 191.47 0 395 5 174.62
1597874400 0 74600 5 191.49 0 1160 5 174.76
1597874400 0 74600 5 191.49 0 395 5 174.76
1597878000 0 74500 5 191.51 0 403 5 174.86
1597881600 0 74500 5 191.55 0 410 5 174.96
1597885200 0 74500 4 191.54 0 410 5 175.08
1597888800 0 74500 5 191.55 0 413 5 175.23
1597892400 0 74400 4 191.46 0 496 5 175.47
1597892400 0 74600 4 191.46 0 496 5 175.47
1597896000 0 74000 5 191.47 0 671 5 175.72
1597899600 0 74000 4 191.38 0 1080 5 176.2
1597903200 0 73900 4 191.32 0 1400 5 176.71
1597906800 0 73900 4 191.25 0 1600 5 176.97
1597910400 0 73500 4 191.11 0 1810 5 177.1
1597914000 0 73300 4 191.03 0 1830 5 177.2
1597917600 0 73000 4 190.91 0 1860 5 177.28
1597921200 0 72500 4 190.73 0 1870 4 177.27
1597924800 0 70700 4 190.67 0 1840 4 177.02
1597928400 0 69900 4 190.47 0 1620 4 176.76
1597932000 0 69200 4 190.24 0 1300 4 176.65
1597935600 0 68700 4 190.08 0 1210 4 176.57
1597939200 0 67900 4 189.86 0 1200 4 176.38
1597942800 0 67200 4 189.66 0 1010 4 176.29
1597946400 0 66500 4 189.44 0 838 4 176.23
1597950000 0 65500 4 189.15 0 806 4 176.21
1597953600 0 64700 4 188.92 0 788 4 176.16
