timestamp outflow inflow risedrop level
1597777200 0 48200 6 26.29
1597784400 0 48200 6 26.29
1597788000 0 48100 4 26.28
1597791600 0 48100 6 26.28
1597795200 0 48100 6 26.28
1597798800 0 48100 6 26.28
1597802400 0 48100 6 26.28
1597806000 0 48100 4 26.27
1597809600 0 48100 6 26.27
1597813200 0 48100 6 26.27
1597816800 0 48100 5 26.28
1597820400 0 48100 6 26.28
1597824000 0 48100 4 26.27
1597827600 0 48000 4 26.26
1597831200 0 48000 6 26.26
1597834800 0 48100 5 26.27
1597838400 0 48100 6 26.27
1597842000 0 48000 4 26.26
1597845600 0 48000 6 26.26
1597849200 0 48000 6 26.26
1597852800 0 48000 6 26.26
1597856400 0 48000 6 26.26
1597860000 0 48000 6 26.26
1597863600 0 48000 6 26.26
1597867200 0 48000 6 26.26
1597870800 0 48000 6 26.26
1597874400 0 48000 6 26.26
1597878000 0 48000 6 26.26
1597881600 0 48000 4 26.25
1597885200 0 48000 6 26.25
1597888800 0 48000 6 26.25
1597892400 0 48000 6 26.25
1597896000 0 48000 6 26.25
1597899600 0 48000 6 26.25
1597903200 0 48000 5 26.26
1597906800 0 48000 4 26.25
1597910400 0 48000 6 26.25
1597914000 0 48100 5 26.27
1597917600 0 48100 5 26.28
1597921200 0 48100 6 26.28
1597924800 0 48100 4 26.27
1597928400 0 48100 6 26.27
1597932000 0 48100 6 26.27
1597935600 0 48000 4 26.26
1597939200 0 48000 6 26.26
1597942800 0 48000 6 26.26
1597946400 0 48100 5 26.27
1597950000 0 48100 6 26.27
1597953600 0 48000 4 26.26
1597957200 0 48000 6 26.26
1597960800 0 48100 5 26.27
1597964400 0 48000 4 26.26
1597968000 0 48100 5 26.27
1597971600 0 48100 6 26.27
1597975200 0 49600 6 26.27
1597978800 0 49600 6 26.27
1597982400 0 49600 6 26.27
1597986000 0 49700 5 26.28
1597989600 0 49700 6 26.28
1597993200 0 49700 6 26.28
1597996800 0 49700 5 26.29
1598000400 0 49700 6 26.29
1598004000 0 49800 5 26.3
1598007600 0 49800 6 26.3
1598011200 0 49800 5 26.31
1598014800 0 49800 6 26.31
1598018400 0 49900 5 26.32
1598022000 0 49900 5 26.33
1598025600 0 50000 5 26.34
1598029200 0 50000 6 26.34
1598032800 0 50000 5 26.35
1598036400 0 50000 6 26.35
1598040000 0 50000 6 26.35
1598043600 0 50000 6 26.35
1598047200 0 50100 5 26.36
1598050800 0 50100 5 26.37
1598054400 0 50100 6 26.37
1598058000 0 50200 5 26.38
1598061600 0 50200 5 26.39
1598065200 0 50200 6 26.39
1598068800 0 50200 6 26.39
1598072400 0 50300 5 26.4
1598076000 0 50300 6 26.4
1598079600 0 50300 5 26.41
1598083200 0 50300 6 26.41
1598086800 0 50400 5 26.42
1598090400 0 50400 5 26.43
1598091720 0 51700 6 26.43
1598094000 0 51600 6 26.43
1598097600 0 51600 5 26.44
1598101200 0 51700 5 26.45
1598104800 0 51700 5 26.46
1598108400 0 51700 6 26.46
1598112000 0 51800 5 26.47
1598115600 0 51800 6 26.47
1598119200 0 51800 6 26.47
1598122800 0 51900 5 26.48
1598126400 0 51900 6 26.48
1598130000 0 51900 5 26.49
1598133600 0 52000 5 26.5
1598137200 0 52000 6 26.5
1598140800 0 52000 5 26.51
1598144400 0 52000 6 26.51
1598148000 0 52000 6 26.51
1598149620 0 53100 6 26.51
1598151600 0 52800 5 26.52
1598155200 0 52800 5 26.53
1598158800 0 52800 6 26.53
1598162400 0 52900 5 26.54
1598166000 0 52900 6 26.54
1598169600 0 52900 5 26.55
1598173200 0 53000 5 26.56
1598176800 0 53000 6 26.56
1598180400 0 53000 6 26.56
1598184000 0 53000 5 26.57
1598187600 0 53000 6 26.57
1598191200 0 53100 5 26.58
1598194800 0 53100 5 26.59
1598198400 0 53100 6 26.59
1598202000 0 53200 5 26.6
1598295600 0 53900 5 26.7
1598320800 0 53900 5 26.71
1598322840 0 54800 6 26.72
1598324400 0 54700 6 26.72
1598328000 0 54700 6 26.72
1598331600 0 54700 6 26.72
1598335200 0 54800 5 26.73
1598338800 0 54700 4 26.72
1598342400 0 54800 5 26.73
1598346000 0 54800 5 26.74
1598349600 0 54800 6 26.74
1598353200 0 54900 5 26.75
1598356800 0 54900 6 26.75
1598360400 0 54900 6 26.75
1598364000 0 55000 5 26.76
1598367600 0 55000 6 26.76
1598371200 0 55000 5 26.77
1598374800 0 55000 6 26.77
1598378400 0 55100 5 26.78
1598382000 0 55100 6 26.78
1598385600 0 55200 5 26.79
1598389200 0 55200 6 26.79
1598392800 0 55200 6 26.79
1598396400 0 55200 5 26.8
1598400000 0 55200 6 26.8
1598403600 0 55200 6 26.8
1598407200 0 55300 5 26.81
1598410800 0 55300 6 26.81
1598414400 0 55400 5 26.82
1598418000 0 55400 6 26.82
1598421600 0 55400 6 26.82
1598425200 0 55400 6 26.82
1598428800 0 55500 5 26.83
1598432400 0 55500 6 26.83
1598436000 0 55500 6 26.83
1598439600 0 55500 6 26.83
1598443200 0 55500 5 26.84
1598446800 0 55500 6 26.84
1598450400 0 55600 5 26.85
1598454000 0 55500 4 26.84
1598457600 0 55600 5 26.85
1598461200 0 55500 4 26.84
1598464800 0 55600 5 26.85
1598468400 0 55700 5 26.86
1598472000 0 55700 6 26.86
1598475600 0 55700 6 26.86
1598479200 0 55700 6 26.86
1598482800 0 55700 6 26.86
1598486400 0 55700 6 26.86
1598490000 0 55700 6 26.86
1598493600 0 55700 6 26.86
1598497200 0 55700 6 26.86
1598500800 0 55700 6 26.86
1598504400 0 55700 6 26.86
1598508000 0 55700 6 26.86
1598511600 0 55600 4 26.85
1598515200 0 55600 6 26.85
1598518800 0 55600 6 26.85
1598522400 0 55600 6 26.85
1598526000 0 55600 6 26.85
1598529600 0 55500 4 26.84
1598533200 0 55500 6 26.84
1598536800 0 55500 6 26.84
1598540400 0 55500 6 26.84
1598544000 0 55500 4 26.83
1598547600 0 55500 6 26.83
1598551200 0 55500 6 26.83
1598554800 0 55400 4 26.82
1598558400 0 55400 6 26.82
1598562000 0 55400 6 26.82
1598565600 0 55300 4 26.81
1598569200 0 55200 4 26.8
1598572800 0 55200 6 26.8
1598576400 0 55200 4 26.79
1598580000 0 55100 4 26.78
1598582280 0 55000 6 26.78
1598583600 0 55100 6 26.78
1598587200 0 55000 4 26.77
1598590800 0 55000 4 26.76
1598594400 0 54900 4 26.75
1598598000 0 54900 6 26.75
1598601600 0 54800 4 26.74
1598605200 0 54800 4 26.73
1598608800 0 54800 6 26.73
1598612400 0 54700 4 26.72
1598616000 0 54700 6 26.72
1598619600 0 54600 4 26.71
1598623200 0 54600 6 26.71
1598637600 0 54500 6 26.69
1598641200 0 54400 4 26.68
1598644800 0 54300 4 26.67
1598648400 0 54300 6 26.67
1598652000 0 54300 4 26.66
1598655600 0 54200 4 26.65
1598659200 0 54100 4 26.64
1598662800 0 54100 6 26.64
1598666400 0 54000 4 26.63
1598670000 0 54000 4 26.62
1598673600 0 54000 6 26.62
1598677200 0 53900 4 26.61
1598680800 0 53900 6 26.61
1598684400 0 53800 4 26.6
1598688000 0 53800 6 26.6
1598691600 0 53800 4 26.59
1598695200 0 53800 6 26.59
1598698800 0 53700 4 26.58
1598702400 0 53600 4 26.57
1598706000 0 53600 6 26.57
1598709600 0 53600 6 26.57
1598713200 0 53600 4 26.56
1598716800 0 53500 4 26.55
1598720400 0 53500 6 26.55
1598724000 0 53400 4 26.54
1598727600 0 53300 4 26.53
1598731200 0 53300 4 26.52
1598734800 0 53300 6 26.52
1598738400 0 53300 6 26.52
1598742000 0 53300 6 26.52
1598745600 0 53300 6 26.52
1598749200 0 53100 4 26.49
1598752800 0 53100 6 26.49
1598756400 0 52000 4 26.48
1598760000 0 51900 4 26.47
1598763600 0 51900 6 26.47
1598767200 0 51900 6 26.47
1598770800 0 51900 4 26.46
1598774400 0 51900 6 26.46
1598778000 0 51900 4 26.45
1598781600 0 51900 6 26.45
1598785200 0 51800 4 26.44
1598788800 0 51800 6 26.44
1598792400 0 51800 6 26.44
1598796000 0 51800 4 26.43
1598799600 0 51700 4 26.42
1598803200 0 51700 4 26.41
1598806800 0 51700 6 26.41
1598810400 0 51700 6 26.41
1598814000 0 51700 6 26.41
1598817600 0 51700 6 26.41
1598821200 0 51700 6 26.41
1598824800 0 51700 6 26.41
1598828400 0 51700 6 26.41
