timestamp shashi_outflow shashi_inflow shashi_risedrop shashi_level chenglingji_outflow chenglingji_inflow chenglingji_risedrop chenglingji_level
1597777200 0 38900 5 42.64 0 14400 4 32.57
1597784400 0 39000 5 42.68 0 14400 5 32.57
1597788000 0 39200 5 42.69 0 14400 6 32.62
1597791600 0 39200 5 42.72 0 14400 4 32.59
1597795200 0 39300 6 42.72 0 14400 5 32.61
1597798800 0 39300 5 42.74 0 14300 5 32.63
1597802400 0 39500 5 42.77 0 14400 4 32.59
1597806000 0 39500 6 42.77 0 14300 5 32.65
1597809600 0 39400 6 42.77 0 14300 4 32.63
1597813200 0 39500 5 42.79 0 14300 5 32.66
1597816800 0 39600 6 42.79 0 14400 4 32.59
1597820400 0 39600 5 42.8 0 11100 5 32.66
1597820400 0 39600 5 42.8 0 14300 5 32.66
1597824000 0 39600 6 42.8 0 11200 4 32.64
1597827600 0 39700 5 42.81 0 11000 5 32.68
1597831200 0 39500 5 42.82 0 11800 4 32.5
1597834800 0 39500 6 42.82 0 11300 5 32.62
1597838400 0 39700 5 42.83 0 11200 5 32.64
1597842000 0 39500 4 42.82 0 11200 5 32.65
1597845600 0 39400 5 42.83 0 11300 4 32.61
1597849200 0 39600 5 42.84 0 11100 5 32.66
1597852800 0 39700 5 42.85 0 11200 4 32.63
1597856400 0 39600 5 42.87 0 11300 4 32.62
1597860000 0 39900 5 42.88 0 11000 5 32.68
1597863600 0 39800 5 42.89 0 11300 4 32.61
1597867200 0 39800 5 42.9 0 11300 6 32.61
1597870800 0 39900 5 42.92 0 11100 5 32.66
1597874400 0 39900 6 42.92 0 11200 4 32.65
1597878000 0 39900 5 42.93 0 10700 5 32.75
1597881600 0 40400 5 42.98 0 11200 4 32.64
1597885200 0 40500 6 42.98 0 10700 5 32.75
1597888800 0 40000 6 42.98 0 10900 4 32.71
1597892400 0 40500 5 42.99 0 11100 4 32.66
1597896000 0 40400 5 43.02 0 10600 5 32.79
1597896000 0 40600 5 43.02 0 10600 5 32.79
1597899600 0 40600 5 43.03 0 10600 4 32.78
1597903200 0 40800 6 43.05 0 11000 4 32.7
1597906800 0 40900 5 43.07 0 10900 5 32.72
1597910400 0 41000 6 43.07 0 11200 4 32.64
1597914000 0 40600 6 43.07 0 11000 5 32.68
1597917600 0 40800 5 43.08 0 10600 5 32.78
1597921200 0 41900 5 43.09 0 10900 4 32.72
1597924800 0 42000 5 43.1 0 11200 4 32.63
1597928400 0 41900 5 43.11 0 11000 5 32.68
1597932000 0 43300 5 43.12 0 11000 6 32.68
1597935600 0 42900 6 43.12 0 10600 5 32.79
1597939200 0 42600 5 43.13 0 10900 4 32.72
1597942800 0 43100 4 43.12 0 10600 5 32.79
1597946400 0 43100 5 43.13 0 10500 5 32.82
1597950000 0 43200 6 43.13 0 10400 5 32.83
1597953600 0 43100 6 43.13 0 10400 5 32.84
1597957200 0 42800 4 43.12 0 10600 4 32.79
1597960800 0 43000 6 43.12 0 10700 4 32.75
1597964400 0 43000 5 43.14 0 10400 5 32.84
1597968000 0 43600 5 43.17 0 10500 4 32.81
1597971600 0 43400 6 43.17 0 10400 5 32.83
1597975200 0 43700 5 43.18 0 10500 4 32.81
1597978800 0 43600 5 43.19 0 10700 4 32.77
1597982400 0 44000 5 43.21 0 10200 5 32.88
1597982400 0 44000 5 43.21 0 11700 5 32.88
1597986000 0 43700 6 43.21 0 10600 4 32.75
1597989600 0 44100 5 43.22 0 11300 5 32.91
1597993200 0 43900 6 43.22 0 11200 4 32.87
1597996800 0 43700 6 43.22 0 11300 4 32.78
1598000400 0 44200 5 43.23 0 11400 5 32.79
1598004000 0 43900 6 43.23 0 11600 5 32.84
1598007600 0 44200 5 43.24 0 11700 5 32.87
1598011200 0 44100 6 43.24 0 11700 6 32.87
1598014800 0 44400 6 43.24 0 11600 4 32.84
1598018400 0 44100 4 43.23 0 11700 5 32.87
1598022000 0 44000 5 43.24 0 12000 5 32.96
1598025600 0 43900 4 43.23 0 11800 4 32.91
1598029200 0 44000 6 43.23 0 11700 4 32.89
1598032800 0 43800 4 43.22 0 12100 5 32.99
1598036400 0 43600 4 43.21 0 11700 4 32.87
1598040000 0 43500 6 43.21 0 12100 5 32.97
1598043600 0 43300 4 43.2 0 11700 4 32.89
1598047200 0 43300 4 43.19 0 12000 5 32.95
1598050800 0 43300 4 43.18 0 12100 5 32.97
1598054400 0 43400 6 43.18 0 11900 4 32.93
