timestamp shashi_outflow shashi_inflow shashi_risedrop shashi_level
1595098800 0 37100 5 42.33
1595102400 0 37600 5 42.4
1595106000 0 37900 5 42.43
1595109600 0 38000 5 42.47
1595113200 0 38500 5 42.53
1595116800 0 38800 5 42.56
1595120400 0 39100 5 42.6
1595124000 0 39000 5 42.61
1595127600 0 39200 5 42.64
1595131200 0 39100 5 42.65
1595134800 0 39200 5 42.67
1595138400 0 39600 5 42.7
1595142000 0 39500 5 42.71
1595145600 0 39800 5 42.74
1595149200 0 39800 6 42.74
1595152800 0 40200 5 42.78
1595156400 0 40400 5 42.82
1595160000 0 40900 5 42.86
1595163600 0 38600 4 42.84
1595167200 0 38400 6 42.84
1595170800 0 38700 5 42.88
1595174400 0 38900 5 42.89
1595178000 0 38900 6 42.89
1595181600 0 38700 4 42.88
1595185200 0 38600 4 42.86
1595188800 0 38700 5 42.87
1595192400 0 38600 5 42.88
1595196000 0 38900 5 42.89
1595199600 0 38900 4 42.88
1595203200 0 38100 4 42.85
1595206800 0 38600 5 42.89
1595210400 0 38300 4 42.85
1595214000 0 38300 5 42.88
1595217600 0 38000 4 42.86
1595221200 0 38200 5 42.88
1595224800 0 38300 5 42.9
1595225520 0 37000 6 42.9
1595228400 0 37800 4 42.87
1595232000 0 38300 5 42.9
1595235600 0 38100 6 42.9
1595239200 0 38300 5 42.92
1595242800 0 37900 4 42.89
1595246400 0 37900 5 42.9
1595250000 0 37900 4 42.89
1595253600 0 37800 4 42.88
1595257200 0 37900 5 42.9
1595260800 0 37600 4 42.88
1595264400 0 37700 5 42.89
1595268000 0 37400 4 42.86
1595271600 0 37500 6 42.86
1595275200 0 37600 5 42.88
1595278800 0 37500 6 42.88
1595282400 0 37000 4 42.83
1595286000 0 37400 5 42.87
1595289600 0 37200 4 42.85
1595293200 0 37200 6 42.85
1595296800 0 37300 5 42.86
1595300400 0 37600 5 42.87
1595304000 0 37000 4 42.85
1595307600 0 37200 5 42.86
1595311200 0 37300 5 42.87
1595314800 0 36000 4 42.85
1595314800 0 37000 4 42.85
1595318400 0 36200 5 42.86
1595322000 0 36000 4 42.84
1595325600 0 36400 5 42.88
1595329200 0 36000 4 42.85
1595332800 0 36100 6 42.85
1595336400 0 36200 5 42.87
1595340000 0 36200 4 42.86
1595343600 0 36000 6 42.86
1595347200 0 36000 4 42.85
1595350800 0 36100 6 42.85
1595354400 0 35900 4 42.84
1595358000 0 36000 5 42.85
1595361600 0 36100 5 42.87
1595365200 0 36500 5 42.9
1595368800 0 36600 4 42.89
1595372400 0 35800 4 42.86
1595376000 0 36300 5 42.9
1595379600 0 36300 4 42.88
1595383200 0 36200 6 42.88
1595386800 0 36300 5 42.91
1595390400 0 36100 4 42.88
1595394000 0 36300 5 42.9
1595397600 0 36200 4 42.89
1595401200 0 36500 5 42.93
1595404800 0 36200 4 42.9
1595408400 0 36200 4 42.89
1595412000 0 36300 5 42.91
1595415600 0 36300 4 42.9
1595419200 0 36100 4 42.88
1595422800 0 36100 5 42.9
1595426400 0 36400 5 42.92
1595430000 0 36100 4 42.89
1595433600 0 36300 5 42.91
1595437200 0 36200 4 42.89
1595440800 0 36400 5 42.91
1595444400 0 36600 5 42.94
1595448000 0 36600 4 42.93
1595451600 0 36700 5 42.95
1595455200 0 36800 5 42.97
1595458800 0 36600 4 42.95
1595462400 0 36900 5 42.98
1595466000 0 36700 6 42.98
1595469600 0 37000 5 43
1595473200 0 37300 5 43.03
1595476800 0 36900 4 42.99
1595480400 0 37100 5 43
1595484000 0 37300 5 43.01
1595487600 0 37100 5 43.03
1595491200 0 37300 5 43.05
1595494800 0 37500 5 43.06
1595498400 0 37400 4 43.05
1595502000 0 37200 5 43.07
1595505600 0 37200 4 43.05
1595509200 0 37400 5 43.08
1595512800 0 37300 4 43.05
1595516400 0 37700 5 43.09
1595520000 0 37200 4 43.06
1595523600 0 37300 5 43.1
