timestamp wulong_outflow wulong_inflow wulong_risedrop wulong_level
1597777200 0 1280 6 173.04
1597784400 0 1600 5 173.96
1597788000 0 1760 5 174.4
1597791600 0 1690 4 174.2
1597795200 0 1340 4 173.55
1597798800 0 1180 4 173.05
1597802400 0 1080 4 172.72
1597803960 0 579 4 172.66
1597806000 0 1020 4 172.52
1597806000 0 557 4 172.52
1597809600 0 559 5 172.53
1597813200 0 576 5 172.59
1597816800 0 632 5 172.79
1597820400 0 663 5 172.9
1597824000 0 694 5 173.01
1597827600 0 717 5 173.08
1597831200 0 633 5 173.24
1597834800 0 669 5 173.35
1597838400 0 705 5 173.46
1597842000 0 761 5 173.63
1597845600 0 407 5 173.74
1597845600 0 797 5 173.74
1597849200 0 398 5 173.84
1597849200 0 830 5 173.84
1597852800 0 380 5 173.98
1597856400 0 383 5 174.12
1597860000 0 398 5 174.3
1597863600 0 390 5 174.39
1597867200 0 395 5 174.51
1597870800 0 395 5 174.62
1597874400 0 1160 5 174.76
1597874400 0 395 5 174.76
1597878000 0 403 5 174.86
1597881600 0 410 5 174.96
1597885200 0 410 5 175.08
1597885980 0 374 5 175.14
1597888800 0 413 5 175.23
1597892400 0 496 5 175.47
1597896000 0 671 5 175.72
1597899600 0 1080 5 176.2
1597903200 0 1400 5 176.71
1597906800 0 1600 5 176.97
1597910400 0 1810 5 177.1
1597914000 0 1830 5 177.2
1597917600 0 1860 5 177.28
1597921200 0 1870 4 177.27
1597924800 0 1840 4 177.02
1597928400 0 1620 4 176.76
1597932000 0 1300 4 176.65
1597935600 0 1210 4 176.57
1597939200 0 1200 4 176.38
1597942800 0 1010 4 176.29
1597946400 0 838 4 176.23
1597950000 0 806 4 176.21
1597953600 0 788 4 176.16
1597957200 0 760 4 176.14
1597960800 0 730 4 176
1597964400 0 619 4 175.98
1597968000 0 550 5 176.16
1597971600 0 782 4 176.06
1597975200 0 837 4 176
1597978800 0 743 4 175.99
1597982400 0 834 5 176.03
1597986000 0 944 4 175.88
1597989600 0 905 4 175.83
1597993200 0 851 5 175.84
1597996800 0 940 4 175.8
1598000400 0 976 4 175.77
